state,visited
Alabama, 90.7025969300821
Alaska, 47.5833094113001
Arizona, 61.1656285313795
Arkansas, 69.432825898042
California, 51.6963091447889
Colorado, 62.1967638199268
Connecticut, 64.2100131932233
Delaware, 69.8312940863675
District of Columbia, 64.1226408551997
Florida, 69.9332138497576
Georgia, 73.0424060130871
Hawaii, 49.7491320045667
Idaho, 60.1058623377795
Illinois, 71.0347542996335
Indiana, 73.4430800109509
Iowa, 65.1526079875475
Kansas, 75.7457841949208
Kentucky, 72.1618079346847
Louisiana, 101.662218988361
Maine, 64.9585981182147
Maryland, 58.1447421027334
Massachusetts, 76.7055778967847
Michigan, 101.904034617035
Minnesota, 63.5354452010365
Mississippi, 84.4149104181349
Missouri, 77.2723428703892
Montana, 60.279753615388
Nebraska, 67.2335410728213
Nevada, 58.1940870922414
New Hampshire, 80.9029542140957
New Jersey, 56.973767466868
New Mexico, 40.4213056505961
New York, 62.8566822814004
North Carolina, 68.2727199065608
North Dakota, 55.3667620140837
Ohio, 74.4332802792033
Oklahoma, 70.4522899860402
Oregon, 61.7514855483548
Pennsylvania, 72.572446607635
Rhode Island, 93.7960218531021
South Carolina, 81.4114021823271
South Dakota, 62.8740401783046
Tennessee, 75.0887707443737
Texas, 60.2643084543756
Utah, 81.2026746747988
Vermont, 56.6181352253465
Virginia, 65.2903873301377
Washington, 59.4956560340429
West Virginia, 75.9129450298396
Wisconsin, 70.3058402140057
Wyoming, 56.1907885494497
